appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags
5,Dedicated Server,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
7,Steam Client,,,,0,0,0,20000,0,0,0,0,0,0,0,27,,,[]
8,winui2,,,,0,0,0,20000,0,0,0,0,0,0,0,1,,,[]
10,Counter-Strike,Valve,Valve,,194023,4977,0,20000000,10994,89,151,20,999,999,0,13706,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,"5381,4805,3365,3330,2760,1847,1693,1591,1327,1181,1177,867,753,624,606,296,284,257,222,64"
20,Team Fortress Classic,Valve,Valve,,5456,904,0,10000000,159,0,16,0,499,499,0,96,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,"746,307,258,233,213,206,189,182,169,133,106,89,69,62,55,51,45,36,35,35"
30,Day of Defeat,Valve,Valve,,5035,559,0,10000000,199,0,18,0,499,499,0,115,"English, French, German, Italian, Spanish - Spain",Action,"789,250,203,188,160,151,132,125,105,78,65,57,41,37,34,18,16,14,14,13"
40,Deathmatch Classic,Valve,Valve,,1865,415,0,10000000,47,0,11,0,499,499,0,10,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,"630,140,108,97,94,70,45,33,33,24,16,14,14,13,12,8"
50,Half-Life: Opposing Force,Gearbox Software,Valve,,13480,676,0,10000000,622,0,209,0,499,499,0,96,"English, French, German, Korean",Action,"882,323,252,249,226,220,187,173,134,114,105,92,74,66,51,38,35,32,29,18"
60,Ricochet,Valve,Valve,,3689,842,0,10000000,25,0,5,0,499,499,0,10,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,"585,129,105,89,78,54,52,42,38,31,27,26,25,25,23,23,17,17,11,8"
70,Half-Life,Valve,Valve,,69740,2498,0,10000000,640,77,179,78,999,999,0,516,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,"22,381,770,176,417,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
80,Counter-Strike: Condition Zero,Valve,Valve,,18774,1820,0,10000000,633,0,27,0,999,999,0,437,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,"1358,1013,748,606,461,396,392,370,314,302,175,175,174,87,70,61,43,43,39,39"
90,Half-Life Dedicated Server,,,,0,0,0,20000,0,0,0,0,0,0,0,11,,,[]
92,Codename Gordon,Nuclear Vision,Valve,,0,0,0,20000,838,30,123,30,0,0,0,33,English,Indie,[]
100,Counter-Strike: Condition Zero,Valve,Valve,,13442,1535,0,20000000,360,0,28,0,999,999,0,45,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,"1339,979,723,582,435,379,360,355,303,288,173,162,151,87,83,73,56,51,38,38"
130,Half-Life: Blue Shift,Gearbox Software,Valve,,9599,917,0,20000000,305,1,141,1,499,499,0,37,"English, French, German",Action,"459,285,215,194,174,152,141,139,91,89,80,76,69,51,45,23,22,22,19,10"
150,Counter-Strike Beta,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,Action,[]
205,Source Dedicated Server,,,,0,0,0,20000,0,0,0,0,0,0,0,1,,,[]
210,Source Dedicated Server,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
