genre1,genre2,genre3,genre4,genre5,genre6,genre7
Adventure,Indie,,,,,
,,,,,,
Action,Adventure,Casual,Free to Play,Indie,Simulation,
Action,Adventure,Indie,,,,
Action,Casual,Indie,Early Access,,,
Action,Free to Play,Massively Multiplayer,Strategy,,,
Action,Casual,Indie,,,,
Free to Play,Indie,RPG,Strategy,,,
Adventure,Free to Play,Simulation,,,,
Adventure,Free to Play,Simulation,,,,
Action,Adventure,Indie,,,,
Adventure,Indie,,,,,
Action,Casual,Indie,Massively Multiplayer,Early Access,,
Indie,Simulation,,,,,
Action,Adventure,,,,,
Casual,Indie,Strategy,,,,
Adventure,Casual,Free to Play,,,,
Action,Adventure,Casual,Free to Play,Indie,Strategy,
Casual,Free to Play,Indie,,,,
,,,,,,
Action,,,,,,
Adventure,Free to Play,Indie,,,,
Indie,,,,,,
Casual,Indie,,,,,
Action,Casual,Free to Play,Indie,Massively Multiplayer,RPG,Strategy
Indie,,,,,,
Free to Play,Indie,Strategy,,,,
Action,Casual,Free to Play,Indie,,,
Indie,,,,,,
Indie,Simulation,,,,,
Casual,Free to Play,,,,,
Action,,,,,,
Strategy,,,,,,
Action,Adventure,Casual,Indie,,,
Casual,Free to Play,Indie,,,,
Indie,Simulation,,,,,
Indie,Early Access,,,,,
Adventure,Casual,Indie,,,,
Free to Play,Indie,,,,,
Simulation,Education,,,,,
Simulation,Education,Software Training,,,,
Education,,,,,,
Adventure,,,,,,
Animation & Modeling,Design & Illustration,Education,Photo Editing,Utilities,Game Development,
Utilities,,,,,,
Free to Play,Utilities,,,,,
Animation & Modeling,Design & Illustration,Utilities,Early Access,,,
Action,Casual,Free to Play,Indie,Sports,,
Animation & Modeling,,,,,,
Adventure,Casual,,,,,
Action,Free to Play,Indie,,,,
Indie,,,,,,
Action,Indie,,,,,
Casual,Indie,,,,,
Indie,Racing,,,,,
Adventure,Free to Play,Indie,Massively Multiplayer,RPG,Strategy,
Free to Play,Indie,,,,,
Adventure,Casual,Indie,,,,
Adventure,Free to Play,Indie,,,,
Action,Adventure,Free to Play,Indie,RPG,Early Access,
,,,,,,
Adventure,Casual,Free to Play,Indie,Early Access,,
Casual,Free to Play,Indie,Strategy,,,
