English,Chinese,French,German,Italian,Spanish,Total Languages,Collection
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,Yes,No,No,No,No,3,"['English', 'Chinese', 'Japanese']"
Yes,Yes,No,No,No,No,3,"['English', 'Chinese', 'Not supported']"
Yes,Yes,No,No,No,No,4,"['English', 'Chinese', 'Not supported', 'Japanese']"
Yes,Yes,No,No,No,No,3,"['English', 'Chinese', 'Japanese']"
Yes,No,No,No,No,No,1,['English']
Yes,Yes,Yes,Yes,Yes,Yes,11,"['English', 'Chinese', 'French', 'German', 'Italian', 'Spanish', 'Polish', 'Portuguese - Brazil', 'Russian', 'Japanese', 'Korean']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,Yes,Yes,Yes,Yes,19,"['English', 'French', 'German', 'Italian', 'Spanish', 'Arabic', 'Czech', 'Danish', 'Hungarian', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Swedish', 'Thai', 'Turkish', 'Ukrainian']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,2,"['English', 'Not supported']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,Yes,No,No,No,No,2,"['English', 'Chinese']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,Yes,Yes,Yes,Yes,Yes,15,"['English', 'Chinese', 'French', 'German', 'Italian', 'Spanish', 'Korean', 'Dutch', 'Polish', 'Portuguese', 'Russian', 'Turkish', 'Czech', 'Swedish', 'Japanese']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,Yes,Yes,Yes,Yes,Yes,14,"['English', 'Chinese', 'French', 'German', 'Italian', 'Spanish', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Greek', 'Russian', 'Thai', 'Ukrainian', 'Dutch']"
Yes,Yes,Yes,Yes,Yes,Yes,13,"['English', 'Chinese', 'French', 'German', 'Italian', 'Spanish', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Greek', 'Russian', 'Ukrainian', 'Dutch']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,Yes,Yes,Yes,No,Yes,8,"['English', 'Chinese', 'French', 'German', 'Spanish', 'Japanese', 'Korean', 'Russian']"
Yes,Yes,No,Yes,No,No,4,"['English', 'Chinese', 'German', 'Finnish']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,Yes,Yes,Yes,No,Yes,9,"['English', 'Chinese', 'French', 'German', 'Spanish', 'Japanese', 'Vietnamese', 'Thai', 'Korean']"
